"0","0.026*""image"" + 0.024*""using"" + 0.022*""based"" + 0.017*""images"" + 0.014*""segmentation"" + 0.013*""detection"" + 0.012*""recognition"" + 0.009*""analysis"" + 0.008*""face"" + 0.007*""brain"" + 0.007*""visual"" + 0.007*""object"" + 0.006*""automatic"" + 0.006*""classification"" + 0.006*""model"" + 0.006*""shape"" + 0.006*""feature"" + 0.006*""multi"" + 0.006*""tracking"" + 0.006*""human"""
"
","
"
"1","0.026*""graphs"" + 0.018*""speech"" + 0.010*""graph"" + 0.009*""algorithms"" + 0.009*""complexity"" + 0.008*""problem"" + 0.007*""recognition"" + 0.007*""number"" + 0.006*""trees"" + 0.006*""sets"" + 0.006*""bounds"" + 0.006*""problems"" + 0.005*""algorithm"" + 0.005*""linear"" + 0.005*""random"" + 0.005*""minimum"" + 0.005*""two"" + 0.005*""optimal"" + 0.005*""approximation"" + 0.005*""time"""
"
","
"
"2","0.026*""robot"" + 0.021*""based"" + 0.020*""using"" + 0.017*""system"" + 0.013*""human"" + 0.010*""motion"" + 0.010*""robots"" + 0.009*""mobile"" + 0.008*""virtual"" + 0.008*""control"" + 0.007*""real"" + 0.007*""robotic"" + 0.007*""planning"" + 0.007*""multi"" + 0.006*""tracking"" + 0.006*""interaction"" + 0.006*""design"" + 0.006*""navigation"" + 0.006*""autonomous"" + 0.006*""vision"""
"
","
"
"3","0.042*""based"" + 0.026*""video"" + 0.017*""using"" + 0.013*""system"" + 0.013*""detection"" + 0.011*""retrieval"" + 0.011*""mobile"" + 0.009*""learning"" + 0.009*""content"" + 0.008*""image"" + 0.008*""information"" + 0.008*""recognition"" + 0.008*""user"" + 0.007*""privacy"" + 0.006*""web"" + 0.006*""coding"" + 0.006*""data"" + 0.006*""multi"" + 0.006*""multimedia"" + 0.005*""social"""
"
","
"
"4","0.059*""control"" + 0.039*""systems"" + 0.024*""time"" + 0.015*""based"" + 0.012*""model"" + 0.012*""nonlinear"" + 0.012*""system"" + 0.011*""design"" + 0.010*""optimal"" + 0.009*""adaptive"" + 0.009*""stability"" + 0.008*""robust"" + 0.008*""analysis"" + 0.008*""linear"" + 0.007*""using"" + 0.007*""discrete"" + 0.007*""state"" + 0.007*""stochastic"" + 0.007*""approach"" + 0.006*""dynamic"""
"
","
"
"5","0.016*""logic"" + 0.014*""de"" + 0.013*""programming"" + 0.009*""systems"" + 0.008*""automata"" + 0.008*""based"" + 0.007*""model"" + 0.007*""reasoning"" + 0.007*""theory"" + 0.006*""optimization"" + 0.006*""problems"" + 0.006*""games"" + 0.006*""multi"" + 0.006*""constraint"" + 0.006*""programs"" + 0.006*""verification"" + 0.006*""approach"" + 0.005*""checking"" + 0.005*""order"" + 0.005*""formal"""
"
","
"
"6","0.053*""networks"" + 0.027*""wireless"" + 0.022*""network"" + 0.022*""based"" + 0.018*""sensor"" + 0.012*""mobile"" + 0.010*""routing"" + 0.010*""energy"" + 0.009*""efficient"" + 0.009*""protocol"" + 0.008*""distributed"" + 0.008*""performance"" + 0.007*""control"" + 0.007*""scheme"" + 0.007*""multi"" + 0.007*""data"" + 0.007*""ad"" + 0.007*""traffic"" + 0.007*""hoc"" + 0.007*""management"""
"
","
"
"7","0.019*""method"" + 0.011*""equations"" + 0.009*""finite"" + 0.009*""problems"" + 0.008*""methods"" + 0.008*""order"" + 0.007*""based"" + 0.007*""linear"" + 0.007*""numerical"" + 0.007*""equation"" + 0.007*""algorithm"" + 0.007*""differential"" + 0.006*""analysis"" + 0.006*""two"" + 0.006*""key"" + 0.006*""quantum"" + 0.005*""functions"" + 0.005*""new"" + 0.005*""nonlinear"" + 0.005*""using"""
"
","
"
"8","0.044*""data"" + 0.021*""system"" + 0.014*""information"" + 0.013*""health"" + 0.013*""based"" + 0.011*""research"" + 0.010*""management"" + 0.009*""medical"" + 0.009*""ontology"" + 0.009*""clinical"" + 0.009*""using"" + 0.008*""analysis"" + 0.008*""semantic"" + 0.007*""monitoring"" + 0.007*""web"" + 0.007*""care"" + 0.007*""support"" + 0.006*""electronic"" + 0.006*""knowledge"" + 0.005*""integration"""
"
","
"
"9","0.023*""based"" + 0.021*""systems"" + 0.012*""system"" + 0.011*""model"" + 0.011*""software"" + 0.011*""performance"" + 0.011*""distributed"" + 0.011*""service"" + 0.010*""parallel"" + 0.010*""using"" + 0.010*""computing"" + 0.010*""analysis"" + 0.009*""cloud"" + 0.009*""applications"" + 0.008*""approach"" + 0.008*""data"" + 0.008*""oriented"" + 0.008*""framework"" + 0.008*""architecture"" + 0.007*""time"""
"
","
"
"10","0.027*""language"" + 0.011*""semantic"" + 0.009*""text"" + 0.009*""using"" + 0.008*""translation"" + 0.007*""word"" + 0.007*""knowledge"" + 0.007*""system"" + 0.007*""automatic"" + 0.007*""natural"" + 0.006*""information"" + 0.006*""machine"" + 0.006*""extraction"" + 0.006*""based"" + 0.006*""languages"" + 0.006*""learning"" + 0.005*""question"" + 0.005*""corpus"" + 0.005*""data"" + 0.005*""answering"""
"
","
"
"11","0.015*""decision"" + 0.014*""analysis"" + 0.012*""information"" + 0.011*""model"" + 0.009*""risk"" + 0.009*""approach"" + 0.008*""supply"" + 0.008*""chain"" + 0.008*""making"" + 0.008*""study"" + 0.007*""based"" + 0.007*""social"" + 0.006*""case"" + 0.006*""using"" + 0.005*""production"" + 0.005*""multi"" + 0.005*""market"" + 0.005*""models"" + 0.004*""online"" + 0.004*""evaluation"""
"
","
"
"12","0.033*""based"" + 0.022*""using"" + 0.014*""estimation"" + 0.013*""image"" + 0.011*""algorithm"" + 0.011*""analysis"" + 0.010*""learning"" + 0.009*""model"" + 0.009*""method"" + 0.009*""detection"" + 0.008*""sparse"" + 0.008*""adaptive"" + 0.007*""classification"" + 0.007*""robust"" + 0.007*""recognition"" + 0.006*""filter"" + 0.006*""transform"" + 0.006*""noise"" + 0.006*""wavelet"" + 0.006*""data"""
"
","
"
"13","0.020*""learning"" + 0.014*""social"" + 0.012*""information"" + 0.010*""study"" + 0.008*""technology"" + 0.007*""online"" + 0.007*""computer"" + 0.006*""research"" + 0.006*""game"" + 0.006*""knowledge"" + 0.006*""virtual"" + 0.006*""use"" + 0.006*""systems"" + 0.005*""based"" + 0.005*""students"" + 0.005*""education"" + 0.005*""user"" + 0.005*""design"" + 0.005*""effects"" + 0.005*""role"""
"
","
"
"14","0.020*""power"" + 0.018*""design"" + 0.015*""low"" + 0.014*""based"" + 0.014*""high"" + 0.012*""using"" + 0.010*""cmos"" + 0.009*""chip"" + 0.007*""digital"" + 0.007*""circuits"" + 0.007*""efficient"" + 0.007*""memory"" + 0.007*""architecture"" + 0.007*""fpga"" + 0.006*""circuit"" + 0.006*""test"" + 0.006*""system"" + 0.006*""hardware"" + 0.006*""voltage"" + 0.006*""implementation"""
"
","
"
"15","0.026*""software"" + 0.022*""design"" + 0.020*""web"" + 0.018*""development"" + 0.017*""based"" + 0.014*""process"" + 0.013*""engineering"" + 0.011*""model"" + 0.011*""study"" + 0.010*""system"" + 0.009*""systems"" + 0.009*""case"" + 0.008*""using"" + 0.008*""approach"" + 0.008*""management"" + 0.007*""user"" + 0.007*""knowledge"" + 0.007*""support"" + 0.006*""business"" + 0.006*""evaluation"""
"
","
"
"16","0.044*""neural"" + 0.041*""based"" + 0.040*""fuzzy"" + 0.031*""network"" + 0.028*""networks"" + 0.024*""using"" + 0.017*""learning"" + 0.016*""algorithm"" + 0.013*""system"" + 0.012*""model"" + 0.011*""classification"" + 0.010*""approach"" + 0.009*""genetic"" + 0.009*""optimization"" + 0.009*""method"" + 0.008*""artificial"" + 0.008*""prediction"" + 0.008*""data"" + 0.007*""machine"" + 0.007*""application"""
"
","
"
"17","0.020*""channel"" + 0.020*""systems"" + 0.016*""mimo"" + 0.013*""channels"" + 0.012*""based"" + 0.010*""performance"" + 0.010*""interference"" + 0.009*""radio"" + 0.009*""ofdm"" + 0.009*""codes"" + 0.009*""networks"" + 0.009*""relay"" + 0.009*""power"" + 0.008*""analysis"" + 0.008*""estimation"" + 0.008*""frequency"" + 0.008*""multi"" + 0.008*""wireless"" + 0.008*""cognitive"" + 0.008*""spectrum"""
"
","
"
"18","0.029*""data"" + 0.021*""based"" + 0.020*""algorithm"" + 0.015*""search"" + 0.013*""mining"" + 0.012*""using"" + 0.011*""problem"" + 0.010*""clustering"" + 0.009*""protein"" + 0.008*""efficient"" + 0.008*""database"" + 0.008*""algorithms"" + 0.008*""query"" + 0.007*""optimization"" + 0.007*""analysis"" + 0.007*""approach"" + 0.007*""networks"" + 0.007*""web"" + 0.006*""gene"" + 0.006*""large"""
"
","
"
"19","0.014*""using"" + 0.010*""analysis"" + 0.009*""based"" + 0.008*""data"" + 0.007*""study"" + 0.006*""surface"" + 0.006*""high"" + 0.006*""model"" + 0.006*""sensing"" + 0.006*""sar"" + 0.006*""molecular"" + 0.005*""simulation"" + 0.005*""modeling"" + 0.005*""remote"" + 0.004*""water"" + 0.004*""satellite"" + 0.004*""optical"" + 0.004*""monitoring"" + 0.004*""cell"" + 0.004*""system"""
"
","
"
